authors,cited by
"Kabamalan, M.","Ogena, A."
"Williams, L.","Ogena, A."
"Kabamalan, M.","Ogena, A."
"Casterline, J. ","Ogena, A."
"Kabamalan, M.","Ogena, A."
"Villaver, M.","Ogena, A."
"Kahn, J.","Ogena, A."
"Anderson, K.","Ogena, A."
"Kalil, A.","Ogena, A."
"Kunz, I.","Ogena, A."
"Ku, L.","Ogena, A."
"Sonenstein, F.","Ogena, A."
"Pleck, I. ","Ogena, A."
"Lee, D.","Ogena, A."
"Lichter, D.","Ogena, A."
"Graefe, D.","Ogena, A."
"Lichter, D.","Ogena, A."
"Graefe, D.","Ogena, A."
"Brown, J.","Ogena, A."
"Lotivio, Z.","Ogena, A."
"Luci, A.","Ogena, A."
"Thevenon, O.","Ogena, A."
"Macairan, E.","Ogena, A."
"Manlove, J.","Ogena, A."
"Terry, E.","Ogena, A."
"Gitelson, L.","Ogena, A."
"Papillo, A.","Ogena, A."
"Russell, S.","Ogena, A."
"Manlove, J.","Ogena, A."
"Mincieli, L. ","Ogena, A."
Manlove J.,"Ogena, A."
"Terry-Human, E.","Ogena, A."
"Ikramullah, E.","Ogena, A."
"McLanahan, S.","Ogena, A."
"Sandefur, G. ","Ogena, A."
"McLanahan, S.","Ogena, A."
"Medina, B.","Ogena, A."
"Medina, B.","Ogena, A."
"Miller, B.","Ogena, A."
"Heaton, T.","Ogena, A."
"Moore, K.","Ogena, A."
"Iekielek, S.","Ogena, A."
"Emig, C. ","Ogena, A."
National Statistics Office,"Ogena, A."
National Statistics Office,"Ogena, A."
"Neal, S.","Ogena, A."
"Matthews, Z.","Ogena, A."
"Frost, M.","Ogena, A."
"Fogstad, H.","Ogena, A."
"Camacho, A.","Ogena, A."
"Laski, L. ","Ogena, A."
"Noar, S.","Ogena, A."
"Zimmerman, R.","Ogena, A."
"Atwood, K. ","Ogena, A."
"Nock, S. ","Ogena, A."
"Parungao, C.","Ogena, A."
"Bautista, L.","Ogena, A."
"Mariano, R.","Ogena, A."
"Bonifacio, V.","Ogena, A."
"Aguinaldo, M.","Ogena, A."
"Pedroso, L.","Ogena, A."
"Sasota, R.","Ogena, A."
"Perelli-Harris, B.","Ogena, A."
"Single-Rushton, W.","Ogena, A."
"Kreyenfeld, M.","Ogena, A."
"Lappegard, T.","Ogena, A."
"Bergharnmer, C.","Ogena, A."
"Keizer, R.","Ogena, A."
Philippine Statistics Authority,"Ogena, A."
ICE International,"Ogena, A."
"Pogoy, M.","Ogena, A."
"Verzosa, R.","Ogena, A."
"Coming, N.","Ogena, A."
"Agustin, G.","Ogena, A."
"Raymundo, C.","Ogena, A."
"Cruz, G.","Ogena, A."
"Ribar, D.","Ogena, A."
"Wilhelm, M.","Ogena, A."
"Ribar, D.","Ogena, A."
"Robins, P.","Ogena, A."
"Fronstin, P.","Ogena, A."
"Roempke-Graefe, D.","Ogena, A."
"Lichter, D.","Ogena, A."
"Roosa, M.","Ogena, A."
"Tein, J.","Ogena, A."
"Reinholtz, C.","Ogena, A."
"Angelini, P.","Ogena, A."
"Rosenzweig, M. ","Ogena, A."
"Rueda-Acosta, P.","Ogena, A."
"Russell, J.","Ogena, A."
"Sandfort, J.","Ogena, A."
"Hill, M.","Ogena, A."
"Shapiro, D.","Ogena, A."
"Sheeran, P.","Ogena, A."
"Abraham, C.","Ogena, A."
"Orbell, S.","Ogena, A."
"Smock, P.","Ogena, A."
"South, S.","Ogena, A."
"South, S.","Ogena, A."
"Terry-Humen, E.","Ogena, A."
"Marlove, I.","Ogena, A."
"Moore, K.","Ogena, A."
"Thornberry, T.","Ogena, A."
"Smith, C.","Ogena, A."
"Howard, G.","Ogena, A."
"Tsai, W.","Ogena, A."
"Liu, J.","Ogena, A."
"Hockenberry, J.","Ogena, A."
United Nations Population Fund,"Ogena, A."
United States Department of Health and Human Services,"Ogena, A."
"Upchurch, D.","Ogena, A."
"Lillard, L.","Ogena, A."
"Panis, C.","Ogena, A."
"Uy, J.","Ogena, A."
"Van de Kaa, D.","Ogena, A."
"Varga, C.","Ogena, A."
"Zosa-Feranil, I.","Ogena, A."
"Ventura, S.","Ogena, A."
"Martin, I.","Ogena, A."
"Curtain, S.","Ogena, A."
"Mathews, T.","Ogena, A."
World Health Organization,"Ogena, A."
World Health Organization,"Ogena, A."
"Wu, L.","Ogena, A."
"Wu, L.","Ogena, A."
"Cherlin, A,","Ogena, A."
"Bumpass, L.","Ogena, A."
"Zablan, Z.","Ogena, A."
"Zavodny, M.","Ogena, A."
"Achalu, O.","Arabit, C."
"Duncan, D.","Arabit, C."
"Ackard, D. M.","Arabit, C."
"Andrews, J. ","Arabit, C."
"Bahr, S.","Arabit, C."
"Marcos, A.","Arabit, C."
"Maughan, S.","Arabit, C."
"Barnes, G.","Arabit, C."
"Baumrind, D. ","Arabit, C."
"Baumrind, D.","Arabit, C."
"Baumrind, D.","Arabit, C."
"Biglan, A.","Arabit, C."
"Blane, H.","Arabit, C."
"Blume, S.","Arabit, C."
"Cabigon, J. ","Arabit, C."
"Chassin, L.","Arabit, C."
Fora D.,"Arabit, C."
"King, K. ","Arabit, C."
"Cheal, D.","Arabit, C."
"Choe, M.","Arabit, C."
"Raymundo, C.","Arabit, C."
"Choe, M.","Arabit, C."
"Raymundo, C.","Arabit, C."
"Clark, W.","Arabit, C."
"Cohen, D.","Arabit, C."
"Rice, J.","Arabit, C."
"Cohen, D.","Arabit, C."
"Cohen, D.","Arabit, C."
"Coleman, J.","Arabit, C."
Connell C.,"Arabit, C."
Gilreath T.,"Arabit, C."
